గ్రహం,డిగ్రీలు,రాశి,రాశి అధిపతి,నక్షత్రం,పదం,వక్రగతి
లగ్నం,0.05,వృషభం,శుక్రుడు,కృత్తిక,2,కాదు
సూర్యుడు,1.65,కుంభం,శని,ధనిష్ట,3,కాదు
చంద్రుడు,24.26,మేషం,కుజుడు,భరణి,4,కాదు
కుజుడు,0.40,కర్కాటకం,చంద్రుడు,పునర్వసు,4,వక్రం
బుధుడు,21.86,మకరం,శని,శ్రవణం,4,కాదు
గురు,2.58,మిథునం,బుధుడు,మృగశిర,3,వక్రం
శుక్రుడు,7.19,కుంభం,శని,శతభిష,1,కాదు
శని,3.73,సింహం,సూర్యుడు,మఖ,2,వక్రం
యురేనస్,22.84,తుల,శుక్రుడు,విశాఖ,1,కాదు
నెప్ట్యూన్,24.44,వృశ్చికం,కుజుడు,జ్యేష్ఠ,3,కాదు
ప్లూటో,22.95,కన్య,బుధుడు,హస్త,4,వక్రం
రాహు,14.66,కన్య,బుధుడు,హస్త,2,వక్రం
కేతు,14.66,మీనం,గురు,ఉత్తరాభాద్ర,4,వక్రం
