గ్రహం,డిగ్రీలు,రాశి,రాశి అధిపతి,నక్షత్రం,పదం,వక్రగతి
లగ్నం,5.34,మేషం,కుజుడు,అశ్విని,2,కాదు
సూర్యుడు,7.28,వృశ్చికం,కుజుడు,అనూరాధ,2,కాదు
చంద్రుడు,1.82,సింహం,సూర్యుడు,మఖ,1,కాదు
కుజుడు,16.21,మేషం,కుజుడు,భరణి,1,వక్రం
బుధుడు,10.20,వృశ్చికం,కుజుడు,అనూరాధ,3,వక్రం
గురు,12.12,తుల,శుక్రుడు,స్వాతి,2,కాదు
శుక్రుడు,22.57,ధనుస్సు,గురు,పూర్వాషాడ,3,కాదు
శని,17.37,కర్కాటకం,చంద్రుడు,ఆశ్లేష,1,వక్రం
యురేనస్,12.93,కుంభం,శని,శతభిష,2,కాదు
నెప్ట్యూన్,21.09,మకరం,శని,శ్రవణం,4,కాదు
ప్లూటో,29.53,వృశ్చికం,కుజుడు,జ్యేష్ఠ,4,కాదు
రాహు,17.10,మీనం,గురు,రేవతి,1,వక్రం
కేతు,17.10,కన్య,బుధుడు,హస్త,3,వక్రం
